id,name,address,category,location,lat,lng,details,reviews
91906,Siegessäule,"Straße des 17. Juni",attraction,Berlin,52.514510261043,13.350126743317,http://tour-pedia.org/api/getPlaceDetails?id=91906,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91906
"Lychener Str. 23",attraction,91909,52.542503599603,13.416095220528,Berlin,"Bar 23",4a1f3022f964a5200d7c1fe3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=91909,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91909
"Wrangelstraße 93",attraction,91910,52.499662,13.439218,Berlin,Sofia,4a91ddfaf964a5202e1c20e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=91910,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91910
"Köpenicker Straße 137",attraction,91912,52.508052842516,13.426333553402,Berlin,Köpi,4a986649f964a520cf2b20e3,0,"Rock Club",http://tour-pedia.org/api/getPlaceDetails?id=91912,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91912
"Friedrichstr. 151",attraction,91917,52.518336173879,13.387613296509,Berlin,"Maritim proArte Hotel Berlin",4adcda6df964a520c74421e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=91917,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91917
"Bayreuther Straße 42",attraction,91995,52.503279,13.34445254,Berlin,"SORAT Hotel Ambassador Berlin",4adcda72f964a520404521e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=91995,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91995
"Raumerstraße 17",attraction,92012,52.541703653439,13.421982957295,Berlin,"Cocktail Bar X",4adcda73f964a520554521e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=92012,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92012
"Wartburgstraße 54",attraction,92013,52.487675,13.351513,Berlin,"Pinguin Club",4adcda73f964a520564521e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=92013,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92013
"Jeanne Mammen Bogen 576/577",attraction,92016,52.504698864794,13.324902694366,Berlin,Gainsbourg,4adcda73f964a5205f4521e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=92016,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92016
"Dudenstraße 40-64",attraction,92018,52.486752629238,13.378601074219,Berlin,Golgatha,4adcda73f964a520614521e3,0,"Beer Garden",http://tour-pedia.org/api/getPlaceDetails?id=92018,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92018
"Winterfeldtstr. 50",attraction,92021,52.496941517114,13.35317612671,Berlin,"Green Door",4adcda74f964a5206f4521e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=92021,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92021
